uCR uF c size_gen it cost
0.1 0.5 0.9 100 0 56.8774942479518
0.1 0.5 0.9 100 1 62.73144999478336
0.1 0.5 0.9 100 2 40.157854494632936
0.1 0.5 0.9 100 3 43.78937717870519
0.1 0.5 0.9 100 4 23.612766241903923
0.1 0.5 0.9 100 5 36.00390667935465
0.1 0.5 0.9 100 6 25.49831569389346
0.1 0.5 0.9 100 7 43.09993245532943
0.1 0.5 0.9 100 8 1.7763568394002505e-15
0.1 0.5 0.9 100 9 42.90250285763761
0.1 0.5 0.9 100 10 92.50553754984259
0.1 0.5 0.9 100 11 73.57748455996318
0.1 0.5 0.9 100 12 47.31004637238322
0.1 0.5 0.9 100 13 38.67185906567758
0.1 0.5 0.9 100 14 16.32107914491097
0.1 0.5 0.9 200 0 0.00407119261054234
0.1 0.5 0.9 200 1 0.040374221369038565
0.1 0.5 0.9 200 2 0.19547309281529301
0.1 0.5 0.9 200 3 1.0304292911242214
0.1 0.5 0.9 200 4 0.01652851802330524
0.1 0.5 0.9 200 5 2.25519167163225
0.1 0.5 0.9 200 6 2.082645888401048
0.1 0.5 0.9 200 7 0.10236764120156572
0.1 0.5 0.9 200 8 0.004603513562230432
0.1 0.5 0.9 200 9 1.008851537809134
0.1 0.5 0.9 200 10 2.050107879814524
0.1 0.5 0.9 200 11 0.14859596386884633
0.1 0.5 0.9 200 12 1.1757473610776916
0.1 0.5 0.9 200 13 1.004926916926598
0.1 0.5 0.9 200 14 0.04384261303054515
0.1 0.7 0.1 100 0 34.80694975215751
0.1 0.7 0.1 100 1 22.053547434971648
0.1 0.7 0.1 100 2 52.73357893755273
0.1 0.7 0.1 100 3 55.40094501968056
0.1 0.7 0.1 100 4 25.397734895218555
0.1 0.7 0.1 100 5 17.355020841377584
0.1 0.7 0.1 100 6 41.26044542010371
0.1 0.7 0.1 100 7 47.13397289792894
